shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
Prmt3.814	Prmt3	71974	LIB	814	4.89333e-05	0	9.78665e-05	7852	0	10218	1
Prmt3.838	Prmt3	71974	LIB	838	3.559311442	4.211350585	2.907272299	26818	112940	29743	86471
Prmt3.985	Prmt3	71974	LIB	985	0.274535697	0.423260006	0.125811388	43276	18317	37898	4768
Prmt3.1839	Prmt3	71974	LIB	1839	0.113816928	0.148898678	0.078735178	2270	338	6325	498
Prmt5.56	Prmt5	27374	LIB	56	0.778904793	0.453405018	1.104404568	1674	759	613	677
Prmt5.266	Prmt5	27374	LIB	266	0.201764199	0.173979378	0.22954902	40637	7070	40157	9218
Prmt5.2152	Prmt5	27374	LIB	2152	0.126875652	0.076575692	0.177175612	5093	390	7676	1360
Prmt5.2293	Prmt5	27374	LIB	2293	2.188455879	0.469499821	3.907411937	8377	3933	8176	31947
Prmt6.247	Prmt6	99890	LIB	247	0.033732942	0.000853242	0.066612642	16408	14	12340	822
Prmt6.1493	Prmt6	99890	LIB	1493	0.134310673	0.232186732	0.036434613	4884	1134	4611	168
Prmt6.1983	Prmt6	99890	LIB	1983	0.154846836	0.167501928	0.142191745	10376	1738	7729	1099
Prmt6.2355	Prmt6	99890	LIB	2355	0.50072786	0.541981695	0.459474025	7539	4086	9278	4263
Prmt7.23	Prmt7	214572	LIB	23	0.009433344	0.004819277	0.01404741	1245	6	1139	16
Prmt7.45	Prmt7	214572	LIB	45	0.543933929	0.518786922	0.569080936	41811	21691	44665	25418
Prmt7.88	Prmt7	214572	LIB	88	0.080612502	0.04869904	0.112525964	21561	1050	22146	2492
Prmt7.1284	Prmt7	214572	LIB	1284	0.06501016	0.126209284	0.003811036	11267	1422	12595	48
Prmt7.2135	Prmt7	214572	LIB	2135	0.23497578	0.386599091	0.083352468	13417	5187	13065	1089
Prmt8.302	Prmt8	381813	LIB	302	0.244600451	0.198269736	0.290931167	32365	6417	32121	9345
Prmt8.455	Prmt8	381813	LIB	455	0.59669119	0.802821189	0.390561191	29562	23733	30364	11859
Prmt8.667	Prmt8	381813	LIB	667	0.045662786	0.087305569	0.004020002	9965	870	10199	41
Prmt8.1854	Prmt8	381813	LIB	1854	0.108178455	0.06973876	0.146618151	35676	2488	32704	4795
Psip1.763	Psip1	101739	LIB	763	0.008304892	0	0.016609784	4282	0	4395	73
Psip1.1311	Psip1	101739	LIB	1311	0	0	0	2929	0	7223	0
Psip1.1596	Psip1	101739	LIB	1596	0.059717843	0.087169563	0.032266123	24286	2117	24019	775
Psip1.2474	Psip1	101739	LIB	2474	0.006237689	0.012475378	0	10661	133	13615	0
Psip1.2652	Psip1	101739	LIB	2652	0.06194056	0.10699453	0.016886591	54657	5848	56080	947
Rbbp4.2088	Rbbp4	19646	LIB	2088	0.193789327	0.126048165	0.261530489	14907	1879	17367	4542
Rbbp4.2174	Rbbp4	19646	LIB	2174	0.005813953	0	0.011627907	2162	0	1290	15
Rbbp4.2511	Rbbp4	19646	LIB	2511	0.928220759	1.004589667	0.851851852	23749	23858	32454	27646
Rbbp4.3753	Rbbp4	19646	LIB	3753	0.073360623	0.135745027	0.010976218	8597	1167	6013	66
Rbbp5.1634	Rbbp5	213464	LIB	1634	1.015990856	1.156510409	0.875471303	33001	38166	28644	25077
Rbbp5.2248	Rbbp5	213464	LIB	2248	0.000789875	0.00145743	0.00012232	29504	43	32701	4
Rbbp5.2655	Rbbp5	213464	LIB	2655	0.121958567	0.170557717	0.073359417	6168	1052	11246	825
Rbbp5.2974	Rbbp5	213464	LIB	2974	1.399302063	1.445902998	1.352701127	7237	10464	10292	13922
Renilla.713	Renilla	Luciferase	NC	713	1.666788004	1.533762916	1.799813091	367178	563164	344553	620131
Ring1.260	Ring1	19763	LIB	260	0.286061741	0.026611473	0.54551201	1691	45	1582	863
Ring1.669	Ring1	19763	LIB	669	0.165118469	0.170742026	0.159494912	11819	2018	8157	1301
Ring1.1034	Ring1	19763	LIB	1034	0.180669238	0.016304348	0.345034127	4600	75	7179	2477
Rnf2.1856	Rnf2	19821	LIB	1856	0.673388184	0.833867094	0.512909274	7494	6249	13866	7112
Rnf2.2203	Rnf2	19821	LIB	2203	0.954595303	0.850564925	1.05862568	30535	25972	25569	27068
Rnf2.2538	Rnf2	19821	LIB	2538	0.837959761	0.541602515	1.134317006	46115	24976	46018	52199
Rnf2.2809	Rnf2	19821	LIB	2809	0.187347204	0.081992104	0.292702304	9879	810	8811	2579
Rnf2.2875	Rnf2	19821	LIB	2875	0.546987675	0.692397599	0.401577752	37646	26066	40057	16086
Rnf20.420	Rnf20	109331	LIB	420	0.063920224	0.054351697	0.073488751	36503	1984	34359	2525
Rnf20.948	Rnf20	109331	LIB	948	0.278768206	0.423430663	0.134105749	33597	14226	54979	7373
Rnf20.1295	Rnf20	109331	LIB	1295	0.000109004	0	0.000218007	4427	0	4587	1
Rnf20.3244	Rnf20	109331	LIB	3244	NA	NA	NA	0	0	0	0
Rnf20.3277	Rnf20	109331	LIB	3277	0.459938908	0.803347787	0.11653003	41281	33163	38179	4449
Rnf20.3718	Rnf20	109331	LIB	3718	1.136821022	1.414336918	0.859305126	12555	17757	8721	7494
Rpa1.1620	Rpa1	68275	PC	1620	0.007210873	0.000351973	0.014069774	45458	16	57357	807
Rpa3.276	Rpa3	68240	PC	278	7.31913e-05	0.000111564	3.48189e-05	35854	4	28720	1
Rpa3.455	Rpa3	68240	PC	457	0.018174308	0.02069689	0.015651726	66725	1381	54371	851
Rpa3.561	Rpa3	68240	PC	561	0.00476048	0.002574918	0.006946042	208162	536	199970	1389
Satb1.710	Satb1	20230	LIB	710	0.161960667	0.323389702	0.000531632	5263	1702	7524	4
Satb1.1401	Satb1	20230	LIB	1401	0.392569667	0.3563288	0.428810533	36326	12944	26886	11529
Satb1.1478	Satb1	20230	LIB	1478	0.24003152	0.473695747	0.006367292	4562	2161	5968	38
Satb1.1709	Satb1	20230	LIB	1709	0.193635318	0.075057818	0.312212817	14269	1071	12405	3873
Satb1.2566	Satb1	20230	LIB	2566	0.193845463	0.035309973	0.352380952	3710	131	1155	407
Setd1a.119	Setd1a	233904	LIB	119	0.107452217	0.170620438	0.044283995	4384	748	4155	184
Setd1a.388	Setd1a	233904	LIB	388	0.608381477	0.653331355	0.5634316	33695	22014	30190	17010
Setd1a.643	Setd1a	233904	LIB	643	1.521441453	1.691804708	1.351078197	38998	65977	44426	60023
Setd1a.5859	Setd1a	233904	LIB	5859	0.797831182	0.900645478	0.695016886	12239	11023	14509	10084
Setd1b.3553	Setd1b	208043	LIB	3553	8.23e-05	0	0.0001646	11381	0	18226	3
Setd1b.3557	Setd1b	208043	LIB	3557	0.18069148	0.180119102	0.181263858	10915	1966	9020	1635
Setd1b.4520	Setd1b	208043	LIB	4520	0.199934074	0.05129672	0.348571429	20976	1076	17850	6222
Setd1b.4522	Setd1b	208043	LIB	4522	0.003342509	0	0.006685018	5428	0	10172	68
Setd1b.4699	Setd1b	208043	LIB	4699	0.137405083	0.097939189	0.176870978	29600	2899	29677	5249
Setd2.182	Setd2	235626	LIB	182	0.040179039	0.047492416	0.032865662	50766	2411	51817	1703
Setd2.1467	Setd2	235626	LIB	1467	0.00017313	0	0.00034626	7627	0	8664	3
Setd2.1785	Setd2	235626	LIB	1785	0.038294803	0.027488932	0.049100673	19426	534	23462	1152
Setd2.3632	Setd2	235626	LIB	3632	0.377349359	0.44562685	0.309071868	15881	7077	15278	4722
Setd2.4051	Setd2	235626	LIB	4051	0	0	0	8105	0	9809	0
Setd3.795	Setd3	52690	LIB	795	0.126767545	0.027322404	0.226212687	3477	95	4288	970
Setd3.1496	Setd3	52690	LIB	1496	NA	NA	NA	424	0	150	0
Setd3.2395	Setd3	52690	LIB	2395	0.012222377	0	0.024444755	5170	0	7159	175
Setd4.506	Setd4	224440	LIB	506	0.001721296	0.001794728	0.001647864	8915	16	7889	13
Setd4.1308	Setd4	224440	LIB	1308	2.55102e-05	5.10204e-05	0	19600	1	30802	0
Setd4.1517	Setd4	224440	LIB	1517	0	0	0	2249	0	1736	0
Setd7.4328	Setd7	73251	LIB	4328	0.79628381	1.371309831	0.22125779	27912	38276	31452	6959
Setd7.5317	Setd7	73251	LIB	5317	0.441117913	0.586184524	0.296051303	23119	13552	19804	5863
Setd7.5342	Setd7	73251	LIB	5342	0.143929674	0.043706114	0.244153234	29195	1276	25869	6316
Setd7.5940	Setd7	73251	LIB	5940	NA	NA	NA	0	0	0	0
Setd7.7009	Setd7	73251	LIB	7009	0.066151971	0.049381188	0.082922753	40400	1995	34707	2878
Setd8.2578	Setd8	67956	LIB	2578	0.189731658	0.000972526	0.37849079	4113	4	3366	1274
Setd8.2622	Setd8	67956	LIB	2622	0.411566348	0.623313229	0.199819467	42611	26560	45421	9076
Setd8.2632	Setd8	67956	LIB	2632	1.643161397	2.493088617	0.793234176	86958	216794	99707	79091
Setdb1.1145	Setdb1	84505	LIB	1145	0.517510269	0.470614035	0.564406503	22800	10730	18391	10380
Setdb1.1925	Setdb1	84505	LIB	1925	0.086579742	0	0.173159485	19087	0	12578	2178
Setdb1.2174	Setdb1	84505	LIB	2174	0.146093257	0.000108015	0.292078499	9258	1	6981	2039
Setdb1.3684	Setdb1	84505	LIB	3684	0.010401671	8.65726e-05	0.02071677	11551	1	13226	274
Setdb2.809	Setdb2	239122	LIB	809	1.391206827	2.779885057	0.002528597	10440	29022	8305	21
Setdb2.810	Setdb2	239122	LIB	810	1.190095337	0.963319847	1.416870827	37568	36190	41634	58990
Setdb2.990	Setdb2	239122	LIB	990	0.079364105	0.021533706	0.137194504	28467	613	24673	3385
Setdb2.1417	Setdb2	239122	LIB	1417	0.34737866	0.393661661	0.30109566	9056	3565	14238	4287
Setmar.1193	Setmar	74729	LIB	1193	0.292843192	0.358163209	0.227523174	18271	6544	15427	3510
Setmar.1195	Setmar	74729	LIB	1195	0.162091025	0.135760257	0.188421792	9944	1350	9967	1878
Setmar.1589	Setmar	74729	LIB	1589	64.11298219	52.14726514	76.07869924	23950	1248927	26938	2049408
Sfmbt1.868	Sfmbt1	54650	LIB	868	1.013294698	1.206846418	0.819742977	7566	9131	8793	7208
Sfmbt1.1345	Sfmbt1	54650	LIB	1345	0.008587566	0.010476801	0.006698332	9354	98	8211	55
Sfmbt1.1802	Sfmbt1	54650	LIB	1802	1.004772904	0.72139738	1.288148429	3435	2478	2641	3402
Sfmbt1.2018	Sfmbt1	54650	LIB	2018	0.26726547	0.475359343	0.059171598	2922	1389	1521	90
Sfmbt1.2421	Sfmbt1	54650	LIB	2421	0.075539295	0.001624805	0.149453785	14771	24	12907	1929
Sfmbt2.602	Sfmbt2	353282	LIB	602	0.281181984	0.520202721	0.042161246	14404	7493	12974	547
Sfmbt2.3592	Sfmbt2	353282	LIB	3592	0.082878502	0.005644644	0.16011236	7795	44	3204	513
Sfmbt2.5673	Sfmbt2	353282	LIB	5673	0.134401376	0.019676674	0.249126078	10825	213	8582	2138
Sin3a.531	Sin3a	20466	LIB	531	0	0	0	634	0	1702	0
Sin3a.3537	Sin3a	20466	LIB	3537	0.024340683	0	0.048681366	22343	0	23130	1126
Sin3a.3559	Sin3a	20466	LIB	3559	1.728939777	2.831898734	0.62598082	3950	11186	4588	2872
Sin3a.4729	Sin3a	20466	LIB	4729	0	0	0	2903	0	3390	0
Sin3b.188	Sin3b	20467	LIB	188	0.042293799	0.084587598	0	6644	562	7276	0
Sin3b.326	Sin3b	20467	LIB	326	1.438726271	2.275190706	0.602261836	40114	91267	52170	31420
Sin3b.338	Sin3b	20467	LIB	338	0.105590062	0	0.211180124	6940	0	4025	850
Sin3b.381	Sin3b	20467	LIB	381	0.134926536	0.248162305	0.021690768	3401	844	1798	39
Sin3b.475	Sin3b	20467	LIB	475	0.639579924	1.118636662	0.160523187	4577	5120	5887	945
Sirt1.688	Sirt1	93759	LIB	688	1.451209242	1.979805805	0.922612678	19362	38333	23363	21555
Sirt1.1708	Sirt1	93759	LIB	1708	0.631165203	0.733237638	0.529092768	197153	144560	193622	102444
Sirt1.1779	Sirt1	93759	LIB	1779	0.436869096	0.336818563	0.536919629	17885	6024	15615	8384
Sirt1.2191	Sirt1	93759	LIB	2191	1.729713563	2.528467711	0.930959415	7851	19851	6431	5987
Sirt2.735	Sirt2	64383	LIB	735	0.147707432	0.003062938	0.292351926	10121	31	8695	2542
Sirt2.1418	Sirt2	64383	LIB	1418	0.131476192	0.093366665	0.169585719	51603	4818	41566	7049
Sirt2.1460	Sirt2	64383	LIB	1460	0.276894538	0.290329505	0.26345957	9317	2705	4885	1287
Sirt2.1600	Sirt2	64383	LIB	1600	0.023729675	0.026015228	0.021444122	28368	738	27560	591
Sirt3.462	Sirt3	64384	LIB	462	0.43015768	0.70883566	0.1514797	12608	8937	23079	3496
Sirt3.869	Sirt3	64384	LIB	869	0.087373128	0.032567568	0.142178688	7400	241	6738	958
Sirt3.993	Sirt3	64384	LIB	993	1.118453529	1.035942224	1.200964834	8931	9252	7877	9460
Sirt3.1002	Sirt3	64384	LIB	1002	0.316055067	0.208823529	0.423286604	2040	426	2568	1087
Sirt3.1236	Sirt3	64384	LIB	1236	0.23257166	0.248811512	0.216331808	15566	3873	20108	4350
Sirt4.105	Sirt4	75387	LIB	105	0.787448713	0.84617509	0.728722336	28968	24512	24897	18143
Sirt4.633	Sirt4	75387	LIB	633	0.413766331	0.018150999	0.809381663	14159	257	11725	9490
Sirt4.1490	Sirt4	75387	LIB	1490	0.271724181	0.467032967	0.076415394	7280	3400	12576	961
Sirt4.1806	Sirt4	75387	LIB	1806	0.211146978	0.364117918	0.058176038	21710	7905	25165	1464
Sirt5.586	Sirt5	68346	LIB	586	0.04315097	0.061098763	0.025203178	41392	2529	43804	1104
Sirt5.1032	Sirt5	68346	LIB	1032	NA	NA	NA	981	0	444	671
Sirt5.1219	Sirt5	68346	LIB	1219	1.159282043	1.459821841	0.858742245	43332	63257	35460	30451
Sirt5.1290	Sirt5	68346	LIB	1290	0.148949431	0.165555092	0.132343769	14394	2383	24051	3183
Sirt6.83	Sirt6	50721	LIB	83	0.036022476	0.05303979	0.019005162	24755	1313	21310	405
Sirt6.421	Sirt6	50721	LIB	421	0.000122991	0	0.000245982	14293	0	12196	3
Sirt6.937	Sirt6	50721	LIB	937	0.232027633	0.160600291	0.303454974	17858	2868	28828	8748
Sirt6.1609	Sirt6	50721	LIB	1609	0.364602844	0.086260111	0.642945578	18792	1621	18577	11944
Sirt7.841	Sirt7	209011	LIB	841	0	0	0	2362	0	2342	0
Sirt7.844	Sirt7	209011	LIB	844	0.221531023	0.111507818	0.331554227	30249	3373	28104	9318
Sirt7.1238	Sirt7	209011	LIB	1238	0.21552915	0.207286174	0.223772125	14603	3027	8531	1909
Sirt7.1604	Sirt7	209011	LIB	1604	0.118405846	0.003893381	0.232918312	3339	13	3293	767
Sirt7.1677	Sirt7	209011	LIB	1677	0.451595828	0.535251456	0.367940199	8411	4502	6020	2215
Smarca1.1401	Smarca1	93761	LIB	1401	1.153548695	1.688711584	0.618385807	33840	57146	25759	15929
Smarca1.1430	Smarca1	93761	LIB	1430	0.46036335	0.786028584	0.134698116	29317	23044	26964	3632
Smarca1.1613	Smarca1	93761	LIB	1613	0.11066776	0.061904944	0.159430577	26153	1619	25359	4043
Smarca1.1893	Smarca1	93761	LIB	1893	0.213806299	0.218937644	0.208674954	15155	3318	11343	2367
Smarca1.3418	Smarca1	93761	LIB	3418	0.607874304	1.091527057	0.124221551	18683	20393	21196	2633
Smarca2.263	Smarca2	67155	LIB	263	0.172543567	0.178539893	0.166547241	28313	5055	19538	3254
Smarca2.274	Smarca2	67155	LIB	274	0	0	0	799	0	685	0
Smarca2.712	Smarca2	67155	LIB	712	0.035563959	0.003878282	0.067249636	3352	13	4803	323
Smarca2.1061	Smarca2	67155	LIB	1061	0.08050899	0.120002107	0.041015873	18983	2278	7875	323
Smarca4.3232	Smarca4	20586	LIB	3232	0	0	0	1287	0	1543	0
Smarca4.3364	Smarca4	20586	LIB	3364	0.185891845	0	0.371783689	12192	0	9172	3410
Smarca4.3633	Smarca4	20586	LIB	3633	0.101871507	0.169502565	0.03424045	12283	2082	7827	268
Smarca4.4935	Smarca4	20586	LIB	4935	0.464028994	0.638482699	0.28957529	20721	13230	19425	5625
Smarca4.5466	Smarca4	20586	LIB	5466	0	0	0	2050	0	1324	0
Smarca5.1139	Smarca5	93762	LIB	1139	39.02044459	29.48150462	48.55938456	38415	1132532	46081	2237665
Smarca5.1264	Smarca5	93762	LIB	1264	0.051361802	0.102723605	0	11896	1222	13262	0
Smarca5.3886	Smarca5	93762	LIB	3886	2.889445252	4.275900073	1.502990431	10888	46556	5016	7539
Smarca5.4421	Smarca5	93762	LIB	4421	0.027038126	0.047147846	0.006928406	1718	81	4763	33
Smarca5.4522	Smarca5	93762	LIB	4522	1.659875833	1.301821998	2.017929668	10483	13647	10095	20371
Smarcc2.1398	Smarcc2	68094	LIB	1398	5.667513887	8.025575273	3.309452502	29247	234724	29717	98347
Smarcc2.1941	Smarcc2	68094	LIB	1941	0.671956498	0.125396825	1.21851617	4410	553	7885	9608
Smarcc2.2235	Smarcc2	68094	LIB	2235	0.277627685	0.414749573	0.140505797	15214	6310	16647	2339
Smarcc2.2541	Smarcc2	68094	LIB	2541	0.369172133	0.397641112	0.340703153	15431	6136	13795	4700
Smarcd1.690	Smarcd1	83797	LIB	690	0.029841397	0.009797964	0.049884831	13166	129	15195	758
Smarcd1.986	Smarcd1	83797	LIB	986	0.145361327	0.246381645	0.044341009	14993	3694	16328	724
Smarcd1.1738	Smarcd1	83797	LIB	1738	0.763237236	1.299479167	0.226995305	8832	11477	8520	1934
Smarcd1.1858	Smarcd1	83797	LIB	1858	0.19664493	0.30078986	0.0925	10888	3275	9600	888
Smarcd3.518	Smarcd3	66993	LIB	518	0.109320414	0.188431483	0.030209345	12413	2339	11321	342
Smarcd3.847	Smarcd3	66993	LIB	847	0.27744907	0.176790744	0.378107396	26274	4645	19349	7316
Smarcd3.1323	Smarcd3	66993	LIB	1323	0.345474467	0.457416001	0.233532934	28661	13110	28557	6669
Smarcd3.1591	Smarcd3	66993	LIB	1591	0.117582645	0.231035335	0.004129956	4047	935	3632	15
Smarcd3.1708	Smarcd3	66993	LIB	1708	0	0	0	2642	0	8094	0
Smarce1.2096	Smarce1	57376	LIB	2096	0.225624714	0.208014266	0.243235162	9533	1983	6689	1627
Smarce1.2121	Smarce1	57376	LIB	2121	5.976009675	3.943683037	8.008336314	36774	145025	36347	291079
Smarce1.2154	Smarce1	57376	LIB	2154	0.166161562	0.03823709	0.294086035	29474	1127	40937	12039
Smarce1.2337	Smarce1	57376	LIB	2337	0.574918385	0.45703001	0.692806761	28357	12960	30056	20823
Smarce1.2593	Smarce1	57376	LIB	2593	0.101831674	0.067653641	0.136009708	11618	786	9889	1345
Smyd1.1302	Smyd1	12180	LIB	1302	0.113264066	0.14391266	0.082615473	18136	2610	24378	2014
Smyd1.1635	Smyd1	12180	LIB	1635	0.847881262	0.759523917	0.936238607	22181	16847	24576	23009
Smyd1.1658	Smyd1	12180	LIB	1658	0.487657271	0.079701835	0.895612708	1744	139	1322	1184
Smyd2.334	Smyd2	226830	LIB	334	0.333287943	0.426382841	0.240193045	6201	2644	8081	1941
Smyd2.640	Smyd2	226830	LIB	640	0	0	0	4778	0	8728	0
Smyd2.1421	Smyd2	226830	LIB	1421	0.033647219	0.007321641	0.059972796	5873	43	8087	485
Smyd2.1476	Smyd2	226830	LIB	1476	0.133552973	0.166871585	0.100234361	29280	4886	27735	2780
Smyd3.306	Smyd3	69726	LIB	306	0.984033005	1.765638646	0.202427363	36640	64693	27190	5504
Smyd3.438	Smyd3	69726	LIB	438	0.268051697	0.342375668	0.193727726	7299	2499	7015	1359
Smyd3.980	Smyd3	69726	LIB	980	6.230065777	7.131274131	5.328857422	7252	51716	12288	65481
Smyd3.1506	Smyd3	69726	LIB	1506	0	0	0	11477	0	9246	0
Smyd3.2607	Smyd3	69726	LIB	2607	0.407196317	0.531783938	0.282608696	20309	10800	20516	5798
Smyd4.693	Smyd4	319822	LIB	693	0.034680679	0	0.069361358	7240	0	6185	429
Smyd4.2959	Smyd4	319822	LIB	2959	0.124362265	0.177337952	0.071386579	10105	1792	11907	850
Smyd4.3333	Smyd4	319822	LIB	3333	0.281233349	0.168597717	0.393868982	23476	3958	24531	9662
Smyd4.3414	Smyd4	319822	LIB	3414	0.036082039	0.064381611	0.007782466	9832	633	10665	83
Smyd4.3439	Smyd4	319822	LIB	3439	0.102705754	0.118006231	0.087405278	24075	2841	30616	2676
Smyd5.1548	Smyd5	232187	LIB	1548	0.555290132	1.105784101	0.004796163	3233	3575	2919	14
Smyd5.1643	Smyd5	232187	LIB	1643	0.201223576	0.237695287	0.164751865	22979	5462	25329	4173
Smyd5.2044	Smyd5	232187	LIB	2044	0.100536441	0	0.201072882	4110	0	5406	1087
Smyd5.2048	Smyd5	232187	LIB	2048	4.496682919	5.749585661	3.243780178	32582	187333	27131	88007
Srcap.2697	Srcap	100043597	LIB	2697	0.349388033	0	0.698776065	2734	0	4412	3083
Srcap.3130	Srcap	100043597	LIB	3130	0.212521996	0.244648899	0.180395093	26303	6435	28044	5059
Srcap.5342	Srcap	100043597	LIB	5342	0.052050563	0.074190594	0.029910532	25111	1863	34202	1023
Srcap.7360	Srcap	100043597	LIB	7360	0.000185048	0.000370096	0	2702	1	2989	0
Srcap.11381	Srcap	100043597	LIB	11381	0.306910194	0.366298636	0.247521752	33874	12408	23101	5718
Ssrp1.306	Ssrp1	20833	LIB	306	0.130932283	0	0.261864566	9024	0	5331	1396
Ssrp1.577	Ssrp1	20833	LIB	577	0	0	0	11830	0	10214	0
Ssrp1.897	Ssrp1	20833	LIB	897	0	0	0	1979	0	1920	0
Ssrp1.975	Ssrp1	20833	LIB	975	0.173798872	0	0.347597744	9139	0	5141	1787
Ssrp1.2237	Ssrp1	20833	LIB	2237	0.516140607	0.49304499	0.539236223	18404	9074	12412	6693
Supt16h.1672	Supt16h	114741	LIB	1672	0	0	0	19141	0	16741	0
Supt16h.2037	Supt16h	114741	LIB	2037	0	0	0	3987	0	5301	0
Supt16h.2827	Supt16h	114741	LIB	2827	0.254409407	0	0.508818813	2799	0	3742	1904
Supt16h.2999	Supt16h	114741	LIB	2999	1.544048922	1.927461878	1.160635965	7017	13525	9120	10585
Suv39h1.496	Suv39h1	20937	LIB	496	0.00769067	0.00522541	0.010155929	9760	51	9748	99
Suv39h1.1016	Suv39h1	20937	LIB	1016	0.16138236	0.206581683	0.116183036	11061	2285	8960	1041
Suv39h1.1202	Suv39h1	20937	LIB	1202	0.443170347	0.001824633	0.884516062	9865	18	9681	8563
Suv39h1.1471	Suv39h1	20937	LIB	1471	0.813201059	0.763236816	0.863165302	37679	28758	31264	26986
Suv39h1.1827	Suv39h1	20937	LIB	1827	0.001449922	0	0.002899844	8924	0	8966	26
Suv39h2.1395	Suv39h2	64707	LIB	1395	1.277126142	1.595355855	0.958896428	11929	19031	17833	17100
Suv39h2.1871	Suv39h2	64707	LIB	1871	1.121534494	0.83378821	1.409280778	14656	12220	13167	18556
Suv39h2.2981	Suv39h2	64707	LIB	2981	0.431886028	0.596321373	0.267450683	45343	27039	52720	14100
Suv39h2.4184	Suv39h2	64707	LIB	4184	0.175666404	0.146602132	0.204730676	35743	5240	31412	6431
Suv420h1.1112	Suv420h1	225888	LIB	1112	0.524975639	0.491653823	0.558297455	38281	18821	28569	15950
Suv420h1.1327	Suv420h1	225888	LIB	1327	0.116790353	0	0.233580705	3903	0	5390	1259
Suv420h1.3263	Suv420h1	225888	LIB	3263	0.368685154	0.493047776	0.244322531	15175	7482	15676	3830
Suv420h1.3357	Suv420h1	225888	LIB	3357	1.324294468	2.048844691	0.599744246	6838	14010	10166	6097
Suv420h2.287	Suv420h2	232811	LIB	287	0.022964894	0.007424692	0.038505096	4714	35	1766	68
Suv420h2.686	Suv420h2	232811	LIB	686	0.11526632	0.108108108	0.122424533	12691	1372	12522	1533
Suv420h2.825	Suv420h2	232811	LIB	825	0.001755618	0	0.003511236	3954	0	4272	15
Suz12.909	Suz12	52615	LIB	909	0.039791094	0.041071615	0.038510573	19186	788	22747	876
Suz12.1676	Suz12	52615	LIB	1676	0.485871904	0.850335377	0.121408431	48602	41328	42913	5210
Suz12.1842	Suz12	52615	LIB	1842	0	0	0	20807	0	26947	0
Suz12.3979	Suz12	52615	LIB	3979	0.728677324	0.747851003	0.709503645	34551	25839	37312	26473
Suz12.4300	Suz12	52615	LIB	4300	2.273232665	3.766706979	0.779758351	95918	361295	105525	82284
Taf1.928	Taf1	270627	LIB	928	0.422721162	0.600757627	0.244684697	29566	17762	30431	7446
Taf1.3994	Taf1	270627	LIB	3994	2.625498891	2.982654402	2.26834338	3805	11349	4811	10913
Taf1.5030	Taf1	270627	LIB	5030	64.36949812	5.851261461	122.8877348	16687	97640	11553	1419722
Taf1.7786	Taf1	270627	LIB	7786	0.523945504	0.14720006	0.900690947	26447	3893	17078	15382
Taf3.1009	Taf3	209361	LIB	1009	0.630071751	0.858078928	0.402064575	47005	40334	56864	22863
Taf3.1315	Taf3	209361	LIB	1315	0.261363856	0.00010287	0.522624842	9721	1	11094	5798
Taf3.1769	Taf3	209361	LIB	1769	0.29960417	0.043652785	0.555555556	7972	348	4563	2535
Taf3.2951	Taf3	209361	LIB	2951	0	0	0	2050	0	3001	0
Taf3.3182	Taf3	209361	LIB	3182	1.204653902	1.789020893	0.620286911	2441	4367	7877	4886
Ube2a.142	Ube2a	22209	LIB	142	0	0	0	6844	0	10490	0
Ube2a.786	Ube2a	22209	LIB	786	0.120099234	0.13903066	0.101167809	26843	3732	31512	3188
Ube2a.1206	Ube2a	22209	LIB	1206	0.144990808	0.114695126	0.17528649	16679	1913	13264	2325
Ube2a.1411	Ube2a	22209	LIB	1411	0.060153226	0.085591229	0.034715222	12770	1093	15872	551
Ube2b.776	Ube2b	22210	LIB	776	0.058058259	0.051273228	0.06484329	11624	596	15283	991
Ube2b.1626	Ube2b	22210	LIB	1626	0.068188614	0.039514731	0.096862497	5770	228	4749	460
Ube2b.1661	Ube2b	22210	LIB	1661	0.499759711	0.928847363	0.070672059	11131	10339	15579	1101
Ube2b.2075	Ube2b	22210	LIB	2075	0.330222156	0.308341814	0.352102499	36359	11211	35981	12669
Ube2b.2079	Ube2b	22210	LIB	2079	2.317079085	1.318543552	3.315614618	27519	36285	22274	73852
Ube2e1.228	Ube2e1	22194	LIB	228	0.029381966	0.058763931	0	9870	580	7343	0
Ube2e1.858	Ube2e1	22194	LIB	858	1.993776879	3.221631126	0.765922632	44362	142918	47668	36510
Ube2e1.1041	Ube2e1	22194	LIB	1041	1.358310257	1.871372176	0.845248338	27358	51197	25570	21613
Ube2e1.1126	Ube2e1	22194	LIB	1126	0.041122487	0.005949233	0.07629574	7564	45	9319	711
Ube2e1.1207	Ube2e1	22194	LIB	1207	0.58531289	0.718171988	0.452453792	17571	12619	15690	7099
Ube2e1.1357	Ube2e1	22194	LIB	1357	0.28858651	0.211572207	0.365600814	64966	13745	77653	28390
Ube2i.40	Ube2i	22196	LIB	40	0.497636722	0.420658059	0.574615385	2401	1010	2600	1494
Ube2i.2212	Ube2i	22196	LIB	2212	1.277510212	1.011704567	1.543315856	62796	63531	58362	90071
Ube2i.2447	Ube2i	22196	LIB	2447	0.048358827	0.096717655	0	6276	607	7252	0
Ube2i.2498	Ube2i	22196	LIB	2498	1.139381303	0.697955118	1.580807487	51201	35736	51072	80735
